Name,Twitter Handle,Total Tweets,Favourites_Count,Followers,User_Id,User_Verified,User Location,Date of Tweet,Tweet Id,Tweet Text,Language,Tweet Source,Tweet Retweet,Tweet Reply To Id,Reply To Name,Tweet,Sentiment
b'Angie A. \xf0\x9f\xa4\x9c\xf0\x9f\x8f\xbf\xf0\x9f\xa4\x9b\xf0\x9f\x8f\xbb',b'AngieAlsabrook',25672,28399,8768,820642436624093185,False,"b'Marietta, GA'",2017-01-15 14:42:58,1108668877658116099,b'RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal\xe2\x80\xa6',b'en',b'Twitter for iPhone',19,,,RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal…,b'Negative'
"b'Dan, online elflord***---'",b'danlabell',2823,497,40,70584615,False,"b'Newport News, VA'",2009-09-01 03:19:44,1108656129251463168,"b""@drdewberry @7proudamerican @nancy_hamm1 Ok. I think you missed it! And if, you do, it's like, it's about you, and\xe2\x80\xa6 https://t.co/gGrMBgZBTa""",b'en',b'Twitter Web Client',0,27251617,drdewberry,"@drdewberry @7proudamerican @nancy_hamm1 Ok. I think you missed it! And if, you do, it's like, it's about you, and… https://t.co/gGrMBgZBTa",b'Negative'
b'T Kinney \xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f',b'_T_3_K',3497,4440,1067,520072020,False,b'United States',2012-03-10 04:02:59,1108644446327865345,b'RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal\xe2\x80\xa6',b'en',b'Twitter Web App',19,,,RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal…,b'Negative'
b'Paula Loves Children \xe2\x9d\xa4\xef\xb8\x8f #SaveTheChildren \xe2\x9d\xa4\xef\xb8\x8f',b'paulacblades001',27767,50438,10722,986462159663017984,False,b'Canada',2018-04-18 04:31:21,1108635112399241217,"b'@Grace_Asher1 @RealDonalTrump Yeah, I\xe2\x80\x99d have to look that up...'",b'en',b'Twitter for iPhone',0,149433931,Grace_Asher1,"@Grace_Asher1 @RealDonalTrump Yeah, I’d have to look that up...",b'Negative'
b'\xf0\x9f\x87\xba\xf0\x9f\x87\xb8Grace Asher-Maga Maven\xf0\x9f\x87\xba\xf0\x9f\x87\xb8',b'Grace_Asher1',33372,292440,12780,149433931,False,"b'Kentucky, USA'",2010-05-29 08:11:07,1108634827933315074,b'@paulacblades001 @RealDonalTrump He\xe2\x80\x99s a 24 YO kablionairre',b'en',b'Twitter for iPhone',0,149433931,Grace_Asher1,@paulacblades001 @RealDonalTrump He’s a 24 YO kablionairre,b'Negative'
b'\xf0\x9f\x87\xba\xf0\x9f\x87\xb8Grace Asher-Maga Maven\xf0\x9f\x87\xba\xf0\x9f\x87\xb8',b'Grace_Asher1',33372,292440,12780,149433931,False,"b'Kentucky, USA'",2010-05-29 08:11:07,1108634500987260928,b'@paulacblades001 @RealDonalTrump ...apparently they got raided by the fbi last night. Unless that\xe2\x80\x99s a lie but I\xe2\x80\x99ll\xe2\x80\xa6 https://t.co/rvbI5Kj8Zf',b'en',b'Twitter for iPhone',0,149433931,Grace_Asher1,@paulacblades001 @RealDonalTrump ...apparently they got raided by the fbi last night. Unless that’s a lie but I’ll… https://t.co/rvbI5Kj8Zf,b'Negative'
b'\xf0\x9f\x87\xba\xf0\x9f\x87\xb8Grace Asher-Maga Maven\xf0\x9f\x87\xba\xf0\x9f\x87\xb8',b'Grace_Asher1',33372,292440,12780,149433931,False,"b'Kentucky, USA'",2010-05-29 08:11:07,1108634284657500162,"b'@paulacblades001 @RealDonalTrump Y\xe2\x80\x99all are gonna laugh then block me, but why does this all make me think of the pu\xe2\x80\xa6 https://t.co/jlxFkwPhcT'",b'en',b'Twitter for iPhone',0,986462159663017984,paulacblades001,"@paulacblades001 @RealDonalTrump Y’all are gonna laugh then block me, but why does this all make me think of the pu… https://t.co/jlxFkwPhcT",b'Positive'
b'guatrone7',b'guatrone7',151054,8606,6337,17687565,False,b'',2008-11-27 20:15:35,1108616444760285184,b'RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal\xe2\x80\xa6',b'en',b'Twitter for iPhone',19,,,RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal…,b'Negative'
b'DIXIE DOODLE',b'DIXIEDOODLE12',105651,65919,23194,881210530505076736,False,b'',2017-07-01 17:58:57,1108599406020960256,b'RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal\xe2\x80\xa6',b'en',b'Twitter Web App',19,,,RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal…,b'Negative'
b'JoeMcNamara',b'WiltonDiary',33317,31769,1794,136581495,False,"b'Key West, Fort Lauderdale, and Palm Springs, CA'",2010-04-24 09:47:02,1108594437154701314,"b'@hollylandes @Proverbs031 @joshscampbell @gtconway3d There was no leak, NONE.  Comey provided his personal notes, t\xe2\x80\xa6 https://t.co/HpirHyJM9w'",b'en',b'Twitter Web Client',0,369191744,hollylandes,"@hollylandes @Proverbs031 @joshscampbell @gtconway3d There was no leak, NONE.  Comey provided his personal notes, t… https://t.co/HpirHyJM9w",b'Negative'
b'Ken Jenkins',b'DCEKenJenkins',2777,1168,1361,252260402,False,"b'Westchester County, NY, USA'",2011-02-14 20:50:20,1108578895828316160,"b'RT @DuWayneGregory: I say we all tweet this memorable moment @potus @realdonaltrump. This was a great moment in history. One time, the good\xe2\x80\xa6'",b'en',b'Twitter Web Client',1,,,"RT @DuWayneGregory: I say we all tweet this memorable moment @potus @realdonaltrump. This was a great moment in history. One time, the good…",b'Positive'
b'Leg. DuWayne Gregory',b'DuWayneGregory',2140,355,1294,1040085876,False,"b'Copiague, NY'",2012-12-27 17:09:06,1108578635118772224,"b'I say we all tweet this memorable moment @potus @realdonaltrump. This was a great moment in history. One time, the\xe2\x80\xa6 https://t.co/rJf9H5soFY'",b'en',b'Echofon',1,,,"I say we all tweet this memorable moment @potus @realdonaltrump. This was a great moment in history. One time, the… https://t.co/rJf9H5soFY",b'Positive'
b'Lighter of Love',b'k4rlgruen',13455,22213,2675,860684196746055682,False,"b'Knoxville, TN'",2017-05-06 02:34:38,1108577009599434752,b'RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal\xe2\x80\xa6',b'en',b'Twitter Web Client',19,,,RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal…,b'Negative'
b'Julie Pommer',b'JuliePommer',1125,1231,25,911362581922803718,False,"b'Sioux Falls, SD'",2017-09-22 22:52:26,1108575202873614336,"b'@PaulRic09155974 @Lrihendry @realDonaldTrump @POTUS @RealDonalTrump Actually, our country\xe2\x80\x99s enemies are blessing him.'",b'en',b'Twitter for iPhone',0,1104820633953808389,PaulRic09155974,"@PaulRic09155974 @Lrihendry @realDonaldTrump @POTUS @RealDonalTrump Actually, our country’s enemies are blessing him.",b'Negative'
b'luceroset\xc3\xadLiiindoOJO',b'3Silcrisros',29520,4926,808,734200076759891968,False,b'',2016-05-22 01:51:53,1108575002524303361,b'@realDonaldTrump DIOS gracias \xc3\x97q pude vr el video no s fue intern.Incre\xc3\xadble vr esa Genial personalidad d mi catire @realDonalTrump !',b'es',b'Twitter for Android',0,25073877,realDonaldTrump,@realDonaldTrump DIOS gracias ×q pude vr el video no s fue intern.Increíble vr esa Genial personalidad d mi catire @realDonalTrump !,b'Negative'
b'Julie Hofelich',b'Sunfunin',3749,4842,67,300465870,False,"b'Crestwood, Ky.'",2011-05-17 20:18:48,1108564853545930758,b'RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal\xe2\x80\xa6',b'en',b'Twitter Web App',19,,,RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal…,b'Negative'
b'AmericanDigitalNews',b'AmDigitalNews',28869,12769,3959,871868565552586755,False,b'U.S.A.',2017-06-05 23:17:19,1108554029746061312,b'RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal\xe2\x80\xa6',b'en',b'Twitter Web Client',19,,,RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal…,b'Negative'
b'J. Lee Ross',b'LeeRoss813',44530,23617,4508,820723244,False,"b'Florida, USA'",2012-09-13 02:07:06,1108552034981154817,b'RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal\xe2\x80\xa6',b'en',b'Twitter for iPhone',19,,,RT @paulacblades001: 2/ Info on [P]urple Movement attached #PutANailInIt  #Satanism #Soros #Paytriots #DigitalSellOuts #CIA/#MOS @realDonal…,b'Negative'
b'CallSaul',b'PaulSaltonstall',3405,3220,35,828621871910379523,False,b'NYC',2017-02-06 15:10:24,1108539597879799809,b'@thehill @realDonalTrump smoking crack again?',b'en',b'Twitter for iPhone',0,1917731,thehill,@thehill @realDonalTrump smoking crack again?,b'Negative'
"b""QULTY, QFD'd BIGOT \xe2\xad\x90\xe2\xad\x90\xe2\xad\x90\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb7\xf3\xa0\x81\xac\xf3\xa0\x81\xb3\xf3\xa0\x81\xbf\xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x87\xba\xf0\x9f\x87\xb8""",b'KimKendrick19',10097,12917,916,949176410328969217,False,"b'Wales, United Kingdom'",2018-01-05 07:11:05,1108535245975052289,b'@paulacblades001 @RealDonalTrump Can Olinda play the piano? Mr Coffees wife is an excellent piano player',b'en',b'Twitter for Android',0,986462159663017984,paulacblades001,@paulacblades001 @RealDonalTrump Can Olinda play the piano? Mr Coffees wife is an excellent piano player,b'Positive'
"b""Vampy -Mostly Harmless, Don't Panic. #ImpeachTheMF""",b'VampireMuffnMan',7920,49529,1995,890598771641516033,False,"b'Minnesota, USA'",2017-07-27 15:44:28,1108529789537869825,"b""RT @CMDR_Paylor: Let's have a discussion about @realDonalTrump's recent battle cry, calling Democrats 'socialists.' Is it woeful ignorance\xe2\x80\xa6""",b'en',b'Twitter Web Client',193,,,"RT @CMDR_Paylor: Let's have a discussion about @realDonalTrump's recent battle cry, calling Democrats 'socialists.' Is it woeful ignorance…",b'Negative'
b'Sharon \xf0\x9f\x87\xb5\xf0\x9f\x87\xb7\xf0\x9f\x8c\x8a Treehugger',b'SharonShaman',40349,65861,5055,880423618907439104,False,b'Midwest',2017-06-29 13:52:03,1108527937073135616,"b""RT @CMDR_Paylor: Let's have a discussion about @realDonalTrump's recent battle cry, calling Democrats 'socialists.' Is it woeful ignorance\xe2\x80\xa6""",b'en',b'Twitter Web Client',193,,,"RT @CMDR_Paylor: Let's have a discussion about @realDonalTrump's recent battle cry, calling Democrats 'socialists.' Is it woeful ignorance…",b'Negative'
b'\xf0\x9f\x92\x83\xf0\x9f\x8f\xbdEssence of Lursa \xf0\x9f\x92\x95\xf0\x9f\x90\xbe\xf0\x9f\x8c\x9f\xf0\x9f\x8d\x80\xf0\x9f\x90\x89',b'KapeciaResists',117459,140991,32880,382886484,False,b'',2011-09-30 21:32:41,1108527148015513600,"b""RT @CMDR_Paylor: Let's have a discussion about @realDonalTrump's recent battle cry, calling Democrats 'socialists.' Is it woeful ignorance\xe2\x80\xa6""",b'en',b'Twitter Web Client',193,,,"RT @CMDR_Paylor: Let's have a discussion about @realDonalTrump's recent battle cry, calling Democrats 'socialists.' Is it woeful ignorance…",b'Negative'
b'Constance Jackowiak',b'ConstanceJacko1',27644,25691,384,897537700751867905,False,"b'Illinois, USA'",2017-08-15 19:17:18,1108525270166835200,b'RT @ConstanceJacko1: @realDonaldTrump @WhiteHouse Hey @realDonalTrump. Did you happen to remember it is your son\xe2\x80\x99s 13th Birthday? Remember.\xe2\x80\xa6',b'en',b'Twitter for iPhone',1,,,RT @ConstanceJacko1: @realDonaldTrump @WhiteHouse Hey @realDonalTrump. Did you happen to remember it is your son’s 13th Birthday? Remember.…,b'Negative'
b'Constance Jackowiak',b'ConstanceJacko1',27644,25691,384,897537700751867905,False,"b'Illinois, USA'",2017-08-15 19:17:18,1108525057456959488,b'@realDonaldTrump @WhiteHouse Hey @realDonalTrump. Did you happen to remember it is your son\xe2\x80\x99s 13th Birthday? Rememb\xe2\x80\xa6 https://t.co/CdFBKSMbV9',b'en',b'Twitter for iPhone',1,25073877,realDonaldTrump,@realDonaldTrump @WhiteHouse Hey @realDonalTrump. Did you happen to remember it is your son’s 13th Birthday? Rememb… https://t.co/CdFBKSMbV9,b'Negative'
